Fecha;Energía Activa;Energía Reactiva;Potencia Activa
01-12-2024 00:15;165.6;48;662.4
01-12-2024 00:30;163.2;50.4;652.8
01-12-2024 00:45;156;48;624
01-12-2024 01:00;158.4;48;633.6
01-12-2024 01:15;156;50.4;624
01-12-2024 01:30;148.8;48;595.2
01-12-2024 01:45;146.4;48;585.6
01-12-2024 02:00;144;50.4;576
01-12-2024 02:15;141.6;50.4;566.4
01-12-2024 02:30;141.6;48;566.4
01-12-2024 02:45;136.8;48;547.2
01-12-2024 03:00;136.8;48;547.2
01-12-2024 03:15;139.2;50.4;556.8
01-12-2024 03:30;139.2;48;556.8
01-12-2024 03:45;136.8;48;547.2
01-12-2024 04:00;132;50.4;528
01-12-2024 04:15;132;48;528
01-12-2024 04:30;132;48;528
01-12-2024 04:45;129.6;48;518.4
01-12-2024 05:00;132;48;528
01-12-2024 05:15;132;50.4;528
01-12-2024 05:30;134.4;48;537.6
01-12-2024 05:45;127.2;50.4;508.8
01-12-2024 06:00;117.6;50.4;470.4
01-12-2024 06:15;103.2;57.6;412.8
01-12-2024 06:30;105.6;55.2;422.4
01-12-2024 06:45;103.2;55.2;412.8
01-12-2024 07:00;105.6;55.2;422.4
01-12-2024 07:15;108;57.6;432
01-12-2024 07:30;112.8;62.4;451.2
01-12-2024 07:45;112.8;60;451.2
01-12-2024 08:00;112.8;60;451.2
01-12-2024 08:15;120;60;480
01-12-2024 08:30;124.8;60;499.2
01-12-2024 08:45;127.2;64.8;508.8
01-12-2024 09:00;132;62.4;528
01-12-2024 09:15;136.8;62.4;547.2
01-12-2024 09:30;144;60;576
01-12-2024 09:45;144;64.8;576
01-12-2024 10:00;148.8;64.8;595.2
01-12-2024 10:15;153.6;64.8;614.4
01-12-2024 10:30;163.2;64.8;652.8
01-12-2024 10:45;160.8;62.4;643.2
01-12-2024 11:00;160.8;64.8;643.2
01-12-2024 11:15;160.8;64.8;643.2
01-12-2024 11:30;163.2;62.4;652.8
01-12-2024 11:45;160.8;60;643.2
01-12-2024 12:00;165.6;60;662.4
01-12-2024 12:15;165.6;60;662.4
01-12-2024 12:30;163.2;60;652.8
01-12-2024 12:45;165.6;57.6;662.4
01-12-2024 13:00;163.2;57.6;652.8
01-12-2024 13:15;156;57.6;624
01-12-2024 13:30;156;55.2;624
01-12-2024 13:45;153.6;57.6;614.4
01-12-2024 14:00;148.8;57.6;595.2
01-12-2024 14:15;146.4;55.2;585.6
01-12-2024 14:30;144;57.6;576
01-12-2024 14:45;141.6;57.6;566.4
01-12-2024 15:00;141.6;57.6;566.4
01-12-2024 15:15;144;57.6;576
01-12-2024 15:30;146.4;60;585.6
01-12-2024 15:45;141.6;62.4;566.4
01-12-2024 16:00;139.2;60;556.8
01-12-2024 16:15;136.8;60;547.2
01-12-2024 16:30;139.2;62.4;556.8
01-12-2024 16:45;136.8;62.4;547.2
01-12-2024 17:00;139.2;62.4;556.8
01-12-2024 17:15;139.2;62.4;556.8
01-12-2024 17:30;141.6;57.6;566.4
01-12-2024 17:45;146.4;60;585.6
01-12-2024 18:00;144;62.4;576
01-12-2024 18:15;148.8;60;595.2
01-12-2024 18:30;144;60;576
01-12-2024 18:45;146.4;57.6;585.6
01-12-2024 19:00;151.2;62.4;604.8
01-12-2024 19:15;153.6;62.4;614.4
01-12-2024 19:30;153.6;57.6;614.4
01-12-2024 19:45;156;57.6;624
01-12-2024 20:00;165.6;57.6;662.4
01-12-2024 20:15;175.2;57.6;700.8
01-12-2024 20:30;199.2;52.8;796.8
01-12-2024 20:45;211.2;50.4;844.8
01-12-2024 21:00;211.2;50.4;844.8
01-12-2024 21:15;211.2;48;844.8
01-12-2024 21:30;208.8;48;835.2
01-12-2024 21:45;206.4;50.4;825.6
01-12-2024 22:00;204;50.4;816
01-12-2024 22:15;194.4;48;777.6
01-12-2024 22:30;189.6;48;758.4
01-12-2024 22:45;187.2;48;748.8
01-12-2024 23:00;187.2;48;748.8
01-12-2024 23:15;182.4;50.4;729.6
01-12-2024 23:30;177.6;45.6;710.4
01-12-2024 23:45;168;48;672
02-12-2024 00:00;165.6;48;662.4
02-12-2024 00:15;158.4;48;633.6
02-12-2024 00:30;151.2;43.2;604.8
02-12-2024 00:45;146.4;45.6;585.6
02-12-2024 01:00;139.2;45.6;556.8
02-12-2024 01:15;139.2;45.6;556.8
02-12-2024 01:30;136.8;45.6;547.2
02-12-2024 01:45;132;43.2;528
02-12-2024 02:00;132;43.2;528
02-12-2024 02:15;129.6;43.2;518.4
02-12-2024 02:30;127.2;43.2;508.8
02-12-2024 02:45;129.6;45.6;518.4
02-12-2024 03:00;124.8;40.8;499.2
02-12-2024 03:15;122.4;40.8;489.6
02-12-2024 03:30;122.4;40.8;489.6
02-12-2024 03:45;122.4;38.4;489.6
02-12-2024 04:00;122.4;40.8;489.6
02-12-2024 04:15;122.4;40.8;489.6
02-12-2024 04:30;124.8;43.2;499.2
02-12-2024 04:45;120;38.4;480
02-12-2024 05:00;120;40.8;480
02-12-2024 05:15;127.2;43.2;508.8
02-12-2024 05:30;124.8;40.8;499.2
02-12-2024 05:45;110.4;45.6;441.6
02-12-2024 06:00;108;45.6;432
02-12-2024 06:15;103.2;43.2;412.8
02-12-2024 06:30;105.6;43.2;422.4
02-12-2024 06:45;110.4;48;441.6
02-12-2024 07:00;120;50.4;480
02-12-2024 07:15;117.6;45.6;470.4
02-12-2024 07:30;124.8;48;499.2
02-12-2024 07:45;124.8;48;499.2
02-12-2024 08:00;132;52.8;528
02-12-2024 08:15;136.8;52.8;547.2
02-12-2024 08:30;141.6;57.6;566.4
02-12-2024 08:45;146.4;60;585.6
02-12-2024 09:00;146.4;60;585.6
02-12-2024 09:15;146.4;60;585.6
02-12-2024 09:30;151.2;60;604.8
02-12-2024 09:45;153.6;60;614.4
02-12-2024 10:00;158.4;69.6;633.6
02-12-2024 10:15;158.4;69.6;633.6
02-12-2024 10:30;158.4;72;633.6
02-12-2024 10:45;163.2;74.4;652.8
02-12-2024 11:00;156;69.6;624
02-12-2024 11:15;153.6;69.6;614.4
02-12-2024 11:30;158.4;69.6;633.6
02-12-2024 11:45;163.2;69.6;652.8
02-12-2024 12:00;163.2;72;652.8
02-12-2024 12:15;165.6;69.6;662.4
02-12-2024 12:30;170.4;69.6;681.6
02-12-2024 12:45;170.4;74.4;681.6
02-12-2024 13:00;168;69.6;672
02-12-2024 13:15;168;74.4;672
02-12-2024 13:30;160.8;67.2;643.2
02-12-2024 13:45;160.8;67.2;643.2
02-12-2024 14:00;160.8;67.2;643.2
02-12-2024 14:15;168;72;672
02-12-2024 14:30;163.2;67.2;652.8
02-12-2024 14:45;168;67.2;672
02-12-2024 15:00;172.8;69.6;691.2
02-12-2024 15:15;168;64.8;672
02-12-2024 15:30;168;64.8;672
02-12-2024 15:45;168;64.8;672
02-12-2024 16:00;160.8;62.4;643.2
02-12-2024 16:15;160.8;67.2;643.2
02-12-2024 16:30;163.2;69.6;652.8
02-12-2024 16:45;168;67.2;672
02-12-2024 17:00;160.8;69.6;643.2
02-12-2024 17:15;168;72;672
02-12-2024 17:30;168;69.6;672
02-12-2024 17:45;170.4;69.6;681.6
02-12-2024 18:00;172.8;72;691.2
02-12-2024 18:15;172.8;72;691.2
02-12-2024 18:30;168;64.8;672
02-12-2024 18:45;165.6;64.8;662.4
02-12-2024 19:00;170.4;67.2;681.6
02-12-2024 19:15;168;67.2;672
02-12-2024 19:30;168;67.2;672
02-12-2024 19:45;172.8;64.8;691.2
02-12-2024 20:00;177.6;64.8;710.4
02-12-2024 20:15;196.8;62.4;787.2
02-12-2024 20:30;220.8;55.2;883.2
02-12-2024 20:45;225.6;50.4;902.4
02-12-2024 21:00;228;52.8;912
02-12-2024 21:15;228;50.4;912
02-12-2024 21:30;223.2;52.8;892.8
02-12-2024 21:45;218.4;45.6;873.6
02-12-2024 22:00;208.8;50.4;835.2
02-12-2024 22:15;206.4;50.4;825.6
02-12-2024 22:30;204;50.4;816
02-12-2024 22:45;201.6;48;806.4
02-12-2024 23:00;189.6;45.6;758.4
02-12-2024 23:15;182.4;45.6;729.6
02-12-2024 23:30;177.6;45.6;710.4
02-12-2024 23:45;170.4;45.6;681.6
03-12-2024 00:00;165.6;43.2;662.4
03-12-2024 00:15;156;43.2;624
03-12-2024 00:30;151.2;43.2;604.8
03-12-2024 00:45;144;40.8;576
03-12-2024 01:00;144;43.2;576
03-12-2024 01:15;139.2;43.2;556.8
03-12-2024 01:30;136.8;40.8;547.2
03-12-2024 01:45;134.4;43.2;537.6
03-12-2024 02:00;132;43.2;528
03-12-2024 02:15;124.8;43.2;499.2
03-12-2024 02:30;127.2;43.2;508.8
03-12-2024 02:45;124.8;43.2;499.2
03-12-2024 03:00;122.4;40.8;489.6
03-12-2024 03:15;122.4;40.8;489.6
03-12-2024 03:30;120;40.8;480
03-12-2024 03:45;122.4;40.8;489.6
03-12-2024 04:00;120;40.8;480
